,MapNumber,Score,matchedTittle,movieTittle
429,13734.0,33.0,How to Lose a Guy in 10 Days,M*A*S*H             
430,9338.0,67.0,Midnight Crossing,Midnight Cowboy 
431,12232.0,65.0,Wing Commander,Chain of Command 
432,8985.0,50.0,Empire of the Sun,Empire             
433,10581.0,73.0,The Ballad of Little Jo,The Ballad of Cable Hogue 
434,1757.0,64.0,In Bloom,In Cold Blood 
435,3392.0,69.0,The Loving Story,The Nun's Story 
436,1648.0,62.0,Haider,Harper 
437,2045.0,62.0,Frozen,Frenzy 
438,8658.0,97.0,Day of the Dead,Day of the Dead 
439,2216.0,67.0,Trance,Train 
440,9257.0,63.0,Shakedown,Sharknado 
441,5499.0,80.0,The Betrayal,The Betrayed 
442,12465.0,71.0,The Taxman,Taxman 
443,5402.0,59.0,The Secrets,The Secret             
444,5094.0,57.0,21,2:13 
445,2733.0,62.0,The Dark Knight Rises,"Batman: The Dark Knight Returns, Part 2 "
446,5230.0,67.0,In the Name of the King: A Dungeon Siege Tale,In the Name of the King: The Last Job 
447,10249.0,59.0,Innocent Blood,Wicked Blood 
448,6074.0,64.0,Dans Paris,Dawn Patrol 
449,7044.0,75.0,Lords of Dogtown,Lords of London 
450,12589.0,69.0,High Fidelity,High Anxiety 
451,5574.0,92.0,August,August 
452,4606.0,62.0,Year One,Day One 
453,8251.0,97.0,A Christmas Story,A Christmas Story 
454,9808.0,81.0,Class of 1999,Class of 1984 
455,11930.0,89.0,The Opposite of Sex,The Opposite Sex 
456,12951.0,60.0,Monster's Ball,Rosemary's Baby 
457,11581.0,63.0,The Man Who Knew Too Little,The Man Who Shot Liberty Valance 
458,6706.0,91.0,Feast,Feast 
459,28.0,59.0,Arrival,Antiviral 
460,10527.0,57.0,Mr. Wonderful,It's a Wonderful Life 
461,10190.0,55.0,Captain Ron,Cat on a Hot Tin Roof 
462,1447.0,79.0,Dawn of the Planet of the Apes,Beneath the Planet of the Apes 
463,12982.0,93.0,Pokemon 3: The Movie,Pokémon 3: The Movie 
464,6731.0,64.0,Family Law,Family Plot 
465,11319.0,76.0,Joe's Apartment,The Apartment 
466,1826.0,67.0,Closed Curtain,Torn Curtain 
