,MapNumber,Score,matchedTittle,movieTittle,,,,,
316,1364,100,The Living,The Return of the Living DeadåÊ,,,,,1
317,5265,100,Gomorrah,GomorrahåÊ            ,,,,,1
318,5767,100,WAR,War & PeaceåÊ            ,,,,,1
319,1597,100,Veronica Mars,Veronica MarsåÊ            ,,,,,1
320,9446,78,Sea of Love,Goddess of LoveåÊ,,,,,0
321,6380,100,The Wild,The Wild BunchåÊ,,,,,1
322,973,90,The D Train,The Great Train RobberyåÊ,,,,,1
323,1404,100,Julia (2015),JuliaåÊ,,,,,1
324,14041,89,1+1=11,11:14åÊ,,,,,1
325,5767,100,WAR,Men of WaråÊ,,,,,1
326,4453,100,Don McKay,Don McKayåÊ,,,,,1
327,11207,100,Shine,A Shine of RainbowsåÊ,,,,,1
328,8696,100,The Hit,The Hit ListåÊ,,,,,1
329,5288,100,Emma Smith: My Story,EmmaåÊ            ,,,,,1
330,8338,100,Videodrome,VideodromeåÊ,,,,,1
331,13731,80,Freaky Friday,Freaky DeakyåÊ,,,,,0
332,40,100,The Girl on the Train (2016),The TrainåÊ,,,,,1
333,3173,100,The Inbetweeners Movie,The InbetweenersåÊ            ,,,,,1
334,6943,67,Sky High,High Plains DrifteråÊ,,,,,0
335,4410,67,GasLand,GalaxinaåÊ,,,,,0
336,134,100,Nocturnal Animals,AnimalsåÊ,,,,,1
337,3747,71,Rubber,GrabbersåÊ,,,,,0
338,12430,100,Miss Julie,Miss JulieåÊ,,,,,1
339,3480,100,In Time,Somewhere in TimeåÊ,,,,,1
340,6461,100,The Return,The Return of the Pink PantheråÊ,,,,,1
341,14071,100,The Sea,"20,000 Leagues Under the SeaåÊ",,,,,1
342,7056,100,The Man,The Elephant ManåÊ,,,,,1
343,7056,100,The Man,The Man from Snowy RiveråÊ,,,,,1
344,8005,100,Mommie Dearest,Mommie DeareståÊ,,,,,1
345,10407,76,The Piano,The EgyptianåÊ,,,,,0
346,8016,100,Nighthawks,NighthawksåÊ,,,,,1
347,8135,100,The Beastmaster,The BeastmasteråÊ,,,,,1
348,10454,69,Heart and Souls,Solomon and ShebaåÊ,,,,,0
349,1323,76,Farewell to Hollywood,A Farewell to ArmsåÊ,,,,,0
