,MapNumber,Score,matchedTittle,movieTittle,,,,,
324,3729,60,1911,11:14åÊ,,,,,0
325,12554,70,Men of Honor,Men of WaråÊ,,,,,0
326,4453,95,Don McKay,Don McKayåÊ,,,,,1
327,5263,67,Son of Rambow,A Shine of RainbowsåÊ,,,,,0
328,9663,76,Hit List,The Hit ListåÊ,,,,,0
329,5288,38,Emma Smith: My Story,EmmaåÊ            ,,,,,0
330,8338,95,Videodrome,VideodromeåÊ,,,,,1
331,13731,69,Freaky Friday,Freaky DeakyåÊ,,,,,0
332,973,86,The D Train,The TrainåÊ,,,,,1
333,3173,67,The Inbetweeners Movie,The InbetweenersåÊ            ,,,,,0
334,8821,60,Highlander,High Plains DrifteråÊ,,,,,0
335,14165,59,Gasoline,GalaxinaåÊ,,,,,0
336,887,71,Anomalisa,AnimalsåÊ,,,,,0
337,11690,67,Gabbeh,GrabbersåÊ,,,,,0
338,12430,95,Miss Julie,Miss JulieåÊ,,,,,1
339,7914,97,Somewhere in Time,Somewhere in TimeåÊ,,,,,1
340,8152,79,Trail of the Pink Panther,The Return of the Pink PantheråÊ,,,,,0
341,4619,58,Under the Sea 3D,"20,000 Leagues Under the SeaåÊ",,,,,0
342,7876,97,The Elephant Man,The Elephant ManåÊ,,,,,1
343,8119,94,The Man From Snowy River,The Man from Snowy RiveråÊ,,,,,1
344,8005,97,Mommie Dearest,Mommie DeareståÊ,,,,,1
345,739,67,The Martian,The EgyptianåÊ,,,,,0
346,8016,95,Nighthawks,NighthawksåÊ,,,,,1
347,8135,97,The Beastmaster,The BeastmasteråÊ,,,,,1
348,3063,67,Simon and the Oaks,Solomon and ShebaåÊ,,,,,0
349,9560,62,Farewell to the King,A Farewell to ArmsåÊ,,,,,0
350,2112,67,Pain and Gain,Robin and MarianåÊ,,,,,0
351,12161,62,Forces of Nature,Force 10 from NavaroneåÊ,,,,,0
352,14019,82,Once Upon a Time in the Midlands,Once Upon a Time in the WeståÊ,,,,,1
353,8181,94,Jekyll and Hyde Together Again,Jekyll and Hyde... Together AgainåÊ,,,,,1
354,6575,90,The OH in Ohio,The Oh in OhioåÊ,,,,,1
355,6279,97,Out of the Blue,Out of the BlueåÊ,,,,,1
356,6649,71,Typhoon,TycoonåÊ,,,,,0
357,7719,92,Decoys,DecoysåÊ,,,,,1
358,12629,65,Saving Grace,Saving GraceåÊ            ,,,,,0
359,1335,93,Area 51,Area 51åÊ,,,,,1
360,3368,74,Sleepless Night,Sleep TightåÊ,,,,,0
361,13533,72,The Cockettes,The CottageåÊ,,,,,0
362,10807,55,Death Wish V: The Face of Death,Dead Like Me: Life After DeathåÊ,,,,,0
363,6931,88,March of the Penguins,Farce of the PenguinsåÊ,,,,,1
364,3272,64,Falling Away,Flying ByåÊ,,,,,0
365,8232,44,Psycho II,PsychåÊ            ,,,,,0
366,9755,78,Henry & June,Henry & MeåÊ,,,,,0
367,1128,96,Christmas Eve,Christmas EveåÊ,,,,,1
368,5041,68,Give Me Your Hand,We Have Your HusbandåÊ,,,,,0
369,670,88,The Dying of the Light,Dying of the LightåÊ,,,,,1
370,5451,78,Body of War,Born of WaråÊ,,,,,0
371,10190,56,Captain Ron,Capricorn OneåÊ,,,,,0
372,3191,65,You've Been Trumped,Should've Been RomeoåÊ,,,,,0
373,12801,86,Running Free,Running ForeveråÊ,,,,,1
374,9464,64,Road House,Yoga HosersåÊ,,,,,0
375,9714,61,Navy Seals,Navy Seals vs. ZombiesåÊ,,,,,0
376,7920,96,The Awakening,The AwakeningåÊ,,,,,1
377,7224,57,Gille's Wife,Let's Kill Ward's WifeåÊ,,,,,0
378,6081,63,Billy the Kid,Pat Garrett & Billy the KidåÊ,,,,,0
379,7520,90,Camping Sauvage,Camping sauvageåÊ,,,,,1
380,5596,71,Without the King,Without MenåÊ,,,,,0
381,2902,83,Barfi!,BarfiåÊ,,,,,1
382,5560,93,All Hat,All HatåÊ,,,,,1
383,8216,69,Trading Places,Treading WateråÊ,,,,,0
384,7860,97,The Blue Lagoon,The Blue LagoonåÊ,,,,,1
385,8109,98,Fast Times at Ridgemont High,Fast Times at Ridgemont HighåÊ,,,,,1
386,5522,63,Good Dick,Moby DickåÊ,,,,,0
387,11274,60,Secrets & Lies,Secrets and LiesåÊ            ,,,,,0
388,9424,76,State Park,State FairåÊ,,,,,0
389,8879,94,Salvador,SalvadoråÊ,,,,,1
390,4929,60,Fuel,FuglyåÊ,,,,,0
391,7328,53,Sex Sells: The Making of Touche,R.L. Stine's Monsterville: The Cabinet of SoulsåÊ,,,,,0
392,7826,77,A Silent Love,Silent MovieåÊ,,,,,0
393,1166,62,Aloft,AirliftåÊ,,,,,0
394,5016,43,Winter of Frozen Dreams,Anne of Green GablesåÊ            ,,,,,0
395,848,73,Carol,CargoåÊ,,,,,0
396,11242,72,High School High,High School MusicalåÊ,,,,,0
397,4194,68,Animal Kingdom,Animal KingdomåÊ            ,,,,,0
398,9780,98,Night of the Living Dead,Night of the Living DeadåÊ,,,,,1
399,13549,65,Hansel and Gretel,Hansel & Gretel Get BakedåÊ,,,,,0
400,8602,91,Return of the Living Dead,The Return of the Living DeadåÊ,,,,,1
401,3292,76,The Front Line,The Front PageåÊ,,,,,0
402,13106,67,Tape,TrapezeåÊ,,,,,0
403,12629,65,Saving Grace,Saving GraceåÊ            ,,,,,0
404,7260,75,The Great Water,The Great EscapeåÊ,,,,,0
405,5759,80,The Mist,The MisfitsåÊ,,,,,0
406,13602,55,Tosca,TopazåÊ,,,,,0
407,3605,95,Red State,Red StateåÊ,,,,,1
408,11251,71,Flipper,ZipperåÊ,,,,,0
409,2968,96,Holy Motors,Holy MotorsåÊ,,,,,1
410,12494,98,The Velocity of Gary,The Velocity of GaryåÊ,,,,,1
